縣市,自行車道路名稱,簡介,挑戰指數,總計長度,路面狀況,重點提醒
宜蘭縣,濱海自行車道,濱海自行車道是從壯圍鄉東港榕樹公園為起點，一直延伸到頭城竹安，全長13.5公里。路線最大的特色，就是靜靜俯臥在太平洋上的龜山島，會一直伴隨著遊客前行。沿途景緻自然原始，沒有過多人工造景，不過遊客最需要的路標及涼亭會適時出現，是一條保有自然及便利的美麗車道。沿途經過大福海濱遊憩區、永鎮濱海公園、公館賞日出，東港遠眺蘭陽溪出海口，如此美景真能讓人忘卻煩憂。,2級。適合有中程騎乘經驗者。,13.5公里。,皆為柏油，平穩好騎，路的一旁就是遼闊太平洋，有時海風大需注意安全。,過永鎮遊憩區後的自行車道，會騎經一處試砲場，遇試砲期間會關上閘門禁止遊客進入。該條路線十分隱蔽，遊客以東港榕樹公園為起點會比較好找。該自行車道無自行車租借服務。
花蓮縣,吉安鄉親山自行車道,吉安鄉運用地理環境，建構了完整的全鄉自行車旅遊系統，透過環鄉自行車道串連至各個休閒景點，目前已規劃4條自行車步道，包括親山線——大山腳到南華、田園線——東華舊紙漿的舊鐵道、濱海線——吉安溪到花蓮溪、親水線——沿著七腳川溪規劃。有興趣的旅人不妨帶著心愛的自行車，逐條去挑戰，體驗一下吉安鄉依山傍水的景致，以及溫暖熱情的風土人情。,1級。適合親子同遊。,親山線自行車道起於太昌村大山橋，終至南華山邊落羽松林，全長5公里。,皆為柏油路面，平坦好騎。,該自行車道沿線並無自行車租借服務，需自備自行車。不過附近民宿飯店業者有自行車租借服務，可以先行詢問。
花蓮縣,花蓮市海岸自行車道,花蓮海濱自行車道，全長15公里，可欣賞花蓮美麗的山海風情，沿線景點豐富，是一條適合全家大小的自行車道，建議可以安排較長的時間，慢慢騎，來趟深度旅遊。因為景點多，騎一小段就會停下來休息，因此雖然路程頗長，但也不至於太累。,2級。適合有中長程騎乘經驗者。親子旅遊者亦可選擇在七星潭附近騎一圈。,南濱公園至七星潭，全長15公里。,此路線已成為遊客遊花蓮的景點之一，因此路況維持極佳，路標也很清楚。,到七星潭前會先經過四八高地，坡度有點陡，是自行車道中比較具有挑戰性的路程。
台東縣,台東山海鐵馬道,台東市環市自行車道系統串聯了台東縣既有之觀光休閒景點，形成自行車道網路，將台東打造為休閒運動的代表城市，融合了台東豐富的旅遊資源，更能吸引遊客、縣民甚至是車手級運動人口，一同享受騎乘在這條依山傍海的絕美自行車道。,3級。適合有長途騎乘經驗者。,台東舊站為起點，經鐵道舊廊道至卑南大圳，沿卑南溪東行至森林公園、濱海公園，再回到台東舊站，全長32公里。,皆為柏油路面，平坦好騎。,路線雖長，但有許多出入口，旅人可依身體狀況評估騎乘路線。 . 卑南大圳自行車道不再為自行車專用道，請旅人注意來車。台東森林公園內有自行車可租借，建議可以此為起點。
台東縣,關山環鎮鐵馬道,關山環鎮自行車道是全台灣第一條環鎮自行車專用道，不僅打響關山知名度，也開啟了環鎮自行車風潮。關山的環鎮單車專用道，全長12公里，大多數路段是依循原來的田間產業道路整建，除了農用車輛因工作需要之外，其他機動車輛均禁止進入，旅人可不受干擾地悠閒漫遊、散步。經過水圳或溪邊的道路兩側，則以枕木架設成欄杆維護騎乘者的安全，同時兼具樸拙的造景效果。,2級。適合有中程騎乘經驗者。,關山親水公園為起點，經關山大圳、親水農園等景點，再回到關山親水公園，全長12公里。,全線路寬約3至4公尺，以柏油鋪設路面，中間則用紅色磚塊區隔成雙向車道，為自行車專用道。,出口前有一段長下坡，要小心減速，並照顧獨自騎乘的兒童。 蚊蟲多，要做防蚊措施。
澎湖縣,西嶼濱海自行車道,澎湖的碧海藍天，美景天成不必贅言，而遊客到澎湖除了戲水、踏浪、大啖海鮮外，還有其他選擇，可以沿著海岸線騎自行車，深入各景點細細品味一番。從澎湖本島越過跨海大橋來到原始樸質的西嶼鄉，從西嶼鄉最南端沿著濱海公路往回騎，就可以在蔚藍大海及壯闊玄武岩的陪伴下，輕鬆來趟自行車優遊行。,2級。有中長程騎乘經驗者較佳。,由橫礁漁港到牛心灣、內垵，共計10公里。,非獨立自行車道，須小心車輛。不過路面寬敞，且皆為柏油路，平整好騎。,由於赤馬地區為丘陵，若以橫礁為起點，坡度較大不好騎，建議由牛心灣往橫礁方向騎，會比較省力。西嶼濱海自行車道沿線並無自行車可租借，需自備，或向民宿借用。
澎湖縣,龍門─果葉─北寮自行車道,這條長約七公里、從澎湖本島東側海岸線開始延伸的自行車道，雖不是遊客經常造訪的路線，但正因為如此，這條從龍門裡正角海岸為起點，一直往北延伸至北寮奎壁山的自行車道，才能完整保存了最原始無瑕的澎湖。騎在自行車道，湛藍的大海在眼前推展，路旁的天人菊會因自行車駛過的清風，搖曳生姿，還有悠閒的牛隻在路旁散步，陪著旅人騎上一段，也很有意思喔。,1級。適合親子共遊。,6.9公里。,全線皆柏油路，沿途指標不甚明顯，遇分叉有時未有指標，需注意。,全程樹少無遮蔽，須小心防曬。自行車道沿海而建，沿途幾乎沒有商家，須準備充足飲水。無自行車租借，需自備。
金門縣,金沙金湖自行車道,金門依城鎮景觀特色，規劃多條自行車道，其中金沙鎮保有多處自然景觀，以及古老的人文聚落，而金湖鎮的熱鬧榮景，與國軍駐守在此息息相關，為金門商業活動最熱絡的地方。兩條車道相距不遠，體能好的遊客可以一次挑戰兩條。金門縣政府建置了完善的自行車網頁，行前可先上金門觀光文化網ttp://tour.kinmen.gov.tw，有更多資料供您參考。,2級。有中程騎乘經驗者為佳。,金沙與金湖自行車道長度皆為16.8公里，兩條合計33.6公里。可視體能狀況決定是否分日完成。,良好。此為國家級的自行車道，路面平坦好騎。,金沙金湖自行車道路程皆長，有時叉路的路標不甚明確，須小心迷路。
金門縣,金城金寧自行車道,金城為金門最繁榮的首善之區，幾經歷史更迭替換，一磚一瓦，一巷一弄，都充滿著歷史況味，都有著專屬的故事。金寧位於金門西北部，三面臨海，漁產豐富，因為處在金廈海域交界，一直以來便是兵家必爭之地，其中最為人知的古寧頭戰役便在此發生。,2級。有中程騎乘經驗者為佳。,金城自行車道長度為13.1公里，金寧自行車道為16.8公里，總長度29.9公里。,良好。此為國家級的自行車道，路面平坦好騎。,車道皆在郊外，較少商店，須準備充足飲水及乾糧。並注意防曬。
金門縣,烈嶼自行車道,金門烈嶼地區又稱小金門。烈嶼將昔日的軍用車轍道，規劃為環島自行車道，全長18公里，沿途林蔭濃密、環境優雅，騎乘期間格外感受到舒適愜意。遊客騎著鐵馬，循著車轍道的軌跡，可深度走訪烈嶼濱海各景點。行前亦可上金門國家公園網站中之遊憩資訊——烈嶼鄉ttp://www.kmnp.gov.tw/chinese/travel_1_7.aspx，有更完善的資訊可參考。,2級。有中程騎乘經驗者佳。,18公里。,自行車道有一半在樹林間，涼爽好騎。,烈女廟往海邊的路為長下坡，須小心騎乘。羅厝漁港到九宮碼頭為上坡，須花較多體力。
